model,capacity_tb,n_unique,drive_days,failed,years_97pct,surv_5yr_lower,surv_5yr,surv_5yr_upper
wdc wuh721816ale6l4,16,26602,11616742,102,5.67830253251198,0.974609289779265,0.979069433153619,0.982759964724553
wdc wuh721414ale6l4,14,8603,10867094,113,5.62628336755647,0.974299727541776,0.978590454307302,0.98217793673664
wdc hms5c4040ale640,4,8716,18224627,253,5.42094455852156,0.972955648465191,0.976086533220794,0.978862834346398
wdc huh721212ale600,12,2673,4483664,61,4.75564681724846,0.968027228497883,0.975024356752709,0.980521001488194
wdc wuh721816ale6l0,16,3069,2772374,37,4.03832991101985,0.960187219868167,0.970984612398042,0.978918001005568
wdc hds5c4040ale630,4,2837,4790383,95,3.7700205338809,0.956136621242517,0.963969069747298,0.970446150080539
st6000dx000,6,1939,4330559,100,3.56194387405886,0.952544699106979,0.960851769784387,0.967753911124958
wdc hds5c3030ala630,3,4664,6934573,150,3.51813826146475,0.95183543627799,0.958814319304767,0.964819361109557
st16000nm001g,16,34293,22614411,480,3.35934291581109,0.948785134155858,0.953156579589487,0.957171743140328
toshiba mg07aca14ta,14,39365,51123732,1376,3.12388774811773,0.94401787846521,0.946896175651025,0.949634381831418
st12000nm001g,12,13627,16705713,434,3.08008213552361,0.943138064129092,0.948153002931625,0.952747808488242
wdc huh721212ale604,12,13519,15607978,392,3.06365503080082,0.942800799605725,0.948110332097365,0.952951600723016
wdc huh728080ale600,8,1218,2609201,73,3.00889801505818,0.941781987403292,0.953420764452297,0.962824597288338
toshiba mg08aca16tey,16,5347,4846164,125,2.71594798083504,0.93484522685578,0.945053847607259,0.953742101814977
st8000dm002,8,10307,27580788,1111,2.68035592060233,0.93414221409427,0.937938899080217,0.941530406073723
wdc huh721212aln604,12,11422,20559877,882,2.26146475017112,0.920623993760597,0.925507098252646,0.930112605201113
toshiba mg08aca16ta,16,39184,12456523,361,2.22313483915127,0.918759031912523,0.92670320620619,0.933926422987838
toshiba mg08aca16te,16,6130,5737006,192,2.20944558521561,0.918447228369444,0.928880316929,0.938068695153233
toshiba md04aba400v,4,150,378365,11,2.17385352498289,0.917445174820898,0.953187367528386,0.973895253513099
st14000nm001g,14,11177,13299198,504,2.16563997262149,0.916811474026386,0.923583225074056,0.929845919368281
st8000nm0055,8,15680,36632508,1893,2.09719370294319,0.914595758563716,0.918390970790037,0.922031907953353
st16000nm002j,16,468,259866,4,1.97399041752225,0.909118009608727,0.96446418286434,0.986601852253363
wdc hds722020ala330,2,4774,5675646,235,1.91101984941821,0.905273515100883,0.916203601543012,0.925975638353595
st12000nm0008,12,20955,31032423,1615,1.80971937029432,0.899616362183715,0.904239419306441,0.908671181204276
wdc wuh722222ale6l4,22,13244,1279877,42,1.79603011635866,0.898477978210553,0.924038009892383,0.943567026907845
wdc hds723030ala640,3,1048,1495337,73,1.6208076659822,0.886225370361525,0.908355540391397,0.926538011517266
st4000dm000,4,37040,81347421,5770,1.59342915811088,0.885072998096457,0.888256731023026,0.891363093022002
toshiba mg07aca14tey,14,738,692480,28,1.5605749486653,0.882222122610466,0.916882697553355,0.942013528085988
st8000nm000a,8,249,128292,1,1.52772073921971,0.881950766098288,0.981821025981705,0.997445274006497
st10000nm0086,10,1304,2924650,202,1.492128678987,0.875809304353553,0.890917610632365,0.904388581271117
st12000nm0007,12,38842,36947060,2173,1.4839151266256,0.8748180829268,0.880029917318088,0.885053273156475
toshiba md04aba500v,5,47,67138,2,1.00205338809035,0.800044905576479,0.943390944389485,0.985797718625071
wdc hds724040ale640,4,45,64934,2,0.955509924709103,0.791989661059999,0.940791491516515,0.985143531701486
wdc hus726040ale610,4,55,69213,3,0.960985626283368,0.7916372248649,0.924923024088176,0.975578592108866
wdc wd40efrx,4,50,77099,4,0.903490759753593,0.775946632258037,0.906457502387469,0.964430770148006
wdc wd60efrx,6,499,692834,72,0.917180013689254,0.775467165316609,0.816808231575928,0.851990379857177
st8000dm005,8,27,53730,3,0.791238877481177,0.750073360246,0.907735596380815,0.969926791071
wdc wd30efrx,3,1335,1365902,174,0.769336071184121,0.735410455819753,0.767120591071091,0.796084144338352
toshiba dt01aca300,3,60,78820,7,0.643394934976044,0.701586722448706,0.840502415486664,0.921945365708622
st4000dm005,4,90,95987,11,0.618754277891855,0.69157196461457,0.811876766187172,0.89254683967869
st14000nm0138,14,1690,1951778,317,0.607802874743327,0.682073984466448,0.709871180606719,0.736178046590584
st33000651as,3,351,241851,31,0.563997262149213,0.665341110027764,0.748996521425718,0.817477063401674
st18000nm000j,18,70,82370,10,0.492813141683778,0.636467014732198,0.779132118186883,0.876659441725553
toshiba hdwf180,8,69,65254,9,0.435318275154004,0.608779445064064,0.766118121924651,0.873344111353689
st12000nm000j,12,482,74238,7,0.427104722792608,0.60468728782565,0.779550844941563,0.89100687662048
wdc huh728080ale604,8,98,77317,10,0.405201916495551,0.591790900919115,0.747642309106899,0.858243922175541
wdc wd30ezrx,3,500,149891,22,0.336755646817248,0.541384368583459,0.66311406416161,0.766470567147884
st4000dx000,4,222,305172,81,0.314852840520192,0.527011904011318,0.595669488421005,0.660775884132095
wdc wd20efrx,2,167,88330,15,0.298425735797399,0.520454418834079,0.667667041234453,0.788088414216031
st10000nm001g,10,29,23056,2,0.251882272416153,0.505607922243446,0.824420758569902,0.955669893813324
st32000542as,2,385,147014,33,0.249144421629021,0.463508597652077,0.574325594342016,0.678146976675915
wdc hds723030ble640,3,10,14225,1,0.186173853524983,0.452099475911257,0.870646631722968,0.982111872392549
st14000nm0018,14,80,52551,12,0.197125256673511,0.413143287890133,0.592894048497197,0.750797599405347
st4000dm004,4,20,13505,1,0.134154688569473,0.389687197673971,0.843329279138008,0.978438522025405
wdc hus728t8tale6l4,8,20,13248,1,0.131416837782341,0.38386553950382,0.840524534310658,0.978063978670909
st14000nm000j,14,143,26784,5,0.134154688569473,0.331545322087853,0.602740579812762,0.82273652408239
st4000dm001,4,425,95868,34,0.109514031485284,0.258584672176436,0.372641716120956,0.502884215288695
seagate barracuda ssd za2000cm10002,2,4,6645,1,0.0657084188911704,0.247991979023662,0.756968793071919,0.967124989304648
wdc hds723020bla642,2,11,9985,3,0.0629705681040383,0.18892365193318,0.520889438764026,0.835377955797537
st3000dm001,3,4707,2463925,1708,0.0739219712525667,0.172500061675163,0.188768021868818,0.206187892599414
st12000nm0117,12,30,13805,7,0.054757015742642,0.147818861955428,0.361109537856696,0.648102320039296
st2000vn000,2,10,4920,2,0.0191649555099247,0.0648487827675384,0.377604965608797,0.841468769085713
